CD,Dem,Rep,Ind,Other,Not sure,N (LV),MOE,Dem lead
SC01,0%,61%,0%,6%,33%,337,9%,-61%
SC02,29%,55%,0%,0%,16%,256,10%,-26%
SC03,25%,55%,0%,0%,20%,168,13%,-31%
SC04,0%,72%,10%,1%,17%,227,10%,-72%
SC05,29%,58%,0%,0%,12%,203,10%,-29%
SC06,54%,26%,0%,0%,19%,169,14%,28%
SC07,28%,47%,0%,0%,25%,206,13%,-19%
SD01,35%,51%,0%,1%,13%,527,8%,-16%
TN01,0%,68%,10%,1%,20%,111,16%,-68%
TN02,25%,67%,0%,0%,8%,135,14%,-43%
TN03,27%,68%,0%,0%,5%,123,14%,-42%
TN04,30%,58%,0%,4%,9%,98,16%,-28%
TN05,56%,39%,0%,0%,4%,118,15%,17%
TN06,25%,67%,0%,0%,8%,103,18%,-43%
TN07,21%,64%,0%,0%,14%,114,17%,-43%
TN08,24%,67%,0%,0%,8%,85,17%,-43%
TN09,72%,26%,0%,0%,2%,87,17%,46%
TX01,25%,70%,0%,0%,5%,97,14%,-45%
TX02,26%,61%,0%,0%,13%,125,15%,-36%
TX03,0%,65%,24%,0%,11%,170,11%,-65%
TX04,0%,80%,0%,1%,19%,118,14%,-80%
TX05,0%,67%,13%,0%,20%,101,18%,-67%
TX06,35%,59%,0%,1%,6%,119,15%,-24%
TX07,33%,61%,0%,0%,5%,133,12%,-28%
TX08,0%,71%,17%,0%,12%,148,11%,-71%
TX09,60%,0%,28%,2%,10%,69,18%,60%
TX10,36%,58%,0%,0%,6%,168,12%,-22%
TX11,0%,75%,14%,0%,11%,114,13%,-75%
TX12,35%,53%,0%,0%,12%,121,13%,-18%
TX13,15%,66%,0%,4%,16%,74,19%,-51%
TX14,31%,65%,0%,1%,3%,102,14%,-35%
TX15,58%,38%,0%,0%,4%,56,20%,20%
TX16,51%,31%,9%,0%,10%,67,17%,20%
TX17,37%,62%,0%,0%,1%,111,14%,-24%
TX18,70%,22%,0%,0%,8%,73,19%,48%
TX19,23%,71%,0%,0%,6%,114,15%,-48%
TX20,62%,0%,22%,0%,16%,104,17%,62%
TX21,0%,63%,25%,2%,11%,208,10%,-63%
TX22,31%,65%,0%,0%,4%,118,12%,-34%
TX23,42%,41%,0%,0%,17%,156,19%,1%
TX24,35%,57%,0%,0%,8%,167,18%,-22%
TX25,36%,55%,0%,0%,9%,163,14%,-19%
TX26,20%,52%,16%,0%,12%,172,11%,-33%
TX27,30%,56%,0%,0%,14%,113,16%,-26%
TX28,42%,0%,24%,0%,34%,50,23%,42%
TX29,56%,0%,21%,0%,23%,39,27%,56%
TX30,55%,0%,36%,1%,8%,71,15%,55%
TX31,34%,57%,0%,0%,9%,156,14%,-24%
TX32,40%,59%,0%,0%,1%,138,14%,-19%
TX33,77%,0%,20%,0%,4%,50,21%,77%
TX34,49%,41%,0%,0%,10%,44,25%,7%
TX35,65%,29%,0%,0%,6%,78,23%,36%
TX36,22%,73%,0%,0%,5%,80,15%,-52%
UT01,18%,79%,0%,0%,3%,170,11%,-61%
UT02,26%,69%,0%,0%,5%,204,9%,-43%
UT03,18%,75%,0%,1%,5%,177,9%,-56%
UT04,36%,54%,0%,0%,10%,313,8%,-17%
VA01,38%,58%,0%,0%,4%,164,12%,-20%
VA02,38%,53%,0%,0%,9%,162,12%,-16%
VA03,67%,0%,0%,9%,24%,124,15%,67%
VA04,48%,48%,0%,0%,4%,107,14%,0%
VA05,38%,48%,0%,0%,14%,118,14%,-11%
VA06,0%,56%,16%,2%,25%,134,13%,-56%
VA07,35%,55%,0%,0%,11%,175,14%,-20%
VA08,72%,21%,0%,1%,6%,180,12%,51%
VA09,0%,71%,15%,4%,10%,105,14%,-71%
VA10,40%,42%,0%,0%,18%,176,11%,-1%
VA11,57%,30%,0%,1%,11%,160,11%,27%
VT01,65%,25%,0%,0%,10%,329,8%,39%
WA01,54%,38%,0%,0%,8%,394,7%,16%
WA02,66%,31%,0%,0%,3%,148,11%,34%
WA03,31%,66%,0%,0%,2%,202,9%,-35%
WA04,0%,32%,32%,4%,32%,122,16%,-32%
WA05,30%,64%,0%,1%,5%,174,10%,-35%
WA06,68%,29%,0%,0%,3%,222,9%,39%
WA07,76%,23%,0%,1%,1%,210,9%,53%
WA08,39%,56%,0%,0%,4%,134,14%,-16%
WA09,67%,23%,0%,0%,9%,149,14%,44%
WA10,65%,29%,0%,1%,5%,167,10%,35%
WI01,35%,59%,0%,0%,6%,433,7%,-24%
WI02,66%,27%,0%,0%,7%,493,7%,38%
WI03,51%,34%,0%,0%,15%,319,9%,18%
WI04,63%,23%,0%,0%,14%,348,8%,40%
WI05,29%,59%,0%,0%,12%,517,7%,-29%
WI06,33%,49%,0%,1%,18%,380,8%,-16%
WI07,33%,56%,0%,0%,10%,464,6%,-23%
WI08,34%,54%,0%,0%,12%,354,8%,-20%
WV01,25%,53%,0%,0%,22%,276,10%,-28%
WV02,44%,45%,0%,0%,11%,348,7%,-1%
WV03,45%,50%,0%,0%,5%,253,10%,-5%
WY01,24%,70%,0%,0%,6%,258,11%,-46%
